id;manufacturer;administration_route;expiration_date;status
1;payment archivo Loan;Bacon;2023-10-29;GREEN
2;CSS paradigma Negro;bluetooth Nacional;2023-10-29;GREEN
3;Artesanal monitor Morado;Directo dinámica parse;2023-10-29;GREEN
4;Usabilidad Plástico;RAM Rústico;2023-10-29;RED
5;intangible Dinánmico Pescado;deliverables Auto;2023-10-29;RED
6;Ringgit;algoritmo Adelante;2023-10-29;RED
7;protocol application uniforme;Ingeniero;2023-10-29;YELLOW
8;navigating;Heredado Guadalupe;2023-10-29;RED
9;Hecho Kuwait Bélgica;Kiribati;2023-10-29;GREEN
10;Loan SMS Avon;Ladrillo Account;2023-10-29;GREEN
